+--------------------+-------+------+-------+-----+-----+-------+-------------------------------------------------------+
|        Name        |  ATT  | COMP |  YDS  |  TD | INT |   PR  |                          URL                          |
|     Joe Flacco     |  6066 | 3744 | 40931 | 224 | 144 |  84.1 |     https://www.nfl.com/players/joe-flacco/stats/     |
|  Ryan Fitzpatrick  |  5054 | 3069 | 34977 | 223 | 169 |  82.3 |  https://www.nfl.com/players/ryan-fitzpatrick/stats/  |
|    Sam Darnold     |  1219 | 729  |  8097 |  45 |  39 |  78.6 |     https://www.nfl.com/players/sam-darnold/stats/    |
|   Kevin Davidson   |   0   |  0   |   0   |  0  |  0  |   0   |   https://www.nfl.com/players/kevin-davidson/stats/   |
|     Riley Neal     |   0   |  0   |   0   |  0  |  0  |   0   |     https://www.nfl.com/players/riley-neal/stats/     |
|    Andy Dalton     |  4782 | 2973 | 33764 | 218 | 126 |  87.5 |     https://www.nfl.com/players/andy-dalton/stats/    |
|    Chase Daniel    |  261  | 178  |  1694 |  8  |  7  |   85  |    https://www.nfl.com/players/chase-daniel/stats/    |
|    Case Cookus     |   0   |  0   |   0   |  0  |  0  |   0   |     https://www.nfl.com/players/case-cookus/stats/    |
|   DeShone Kizer    |  518  | 275  |  3081 |  11 |  24 |  58.9 |    https://www.nfl.com/players/deshone-kizer/stats/   |
|    Kirk Cousins    |  3662 | 2453 | 28372 | 190 |  84 |  97.9 |    https://www.nfl.com/players/kirk-cousins/stats/    |
|     Derek Carr     |  3830 | 2468 | 26896 | 170 |  71 |  92.1 |     https://www.nfl.com/players/derek-carr/stats/     |
|     Cam Newton     |  4348 | 2613 | 31698 | 190 | 118 |  85.8 |     https://www.nfl.com/players/cam-newton/stats/     |
|    Cody Kessler    |  349  | 224  |  2215 |  8  |  5  |  83.7 |    https://www.nfl.com/players/cody-kessler/stats/    |
|     Chad Kelly     |   1   |  -1  |   -1  |  0  |  0  |   0   |     https://www.nfl.com/players/chad-kelly/stats/     |
|     Joe Burrow     |  404  | 264  |  2688 |  13 |  5  |  89.8 |     https://www.nfl.com/players/joe-burrow/stats/     |
|    Case Keenum     |  2101 | 1309 | 14414 |  75 |  47 |  85.2 |     https://www.nfl.com/players/case-keenum/stats/    |
|  Jacoby Brissett   |  983  | 586  |  6459 |  31 |  13 |  84.1 |   https://www.nfl.com/players/jacoby-brissett/stats/  |
|   Jake Browning    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/jake-browning/stats/   |
|     Drew Brees     | 10551 | 7142 | 80358 | 571 | 243 |  98.7 |     https://www.nfl.com/players/drew-brees/stats/     |
| Teddy Bridgewater  |  1562 | 1038 | 11385 |  53 |  36 |  89.5 |  https://www.nfl.com/players/teddy-bridgewater/stats/ |
|     Tim Boyle      |   4   |  3   |   15  |  0  |  0  |  80.2 |      https://www.nfl.com/players/tim-boyle/stats/     |
|     Tyler Bray     |   6   |  1   |   18  |  0  |  0  |  28.5 |     https://www.nfl.com/players/tyler-bray/stats/     |
|    David Blough    |  184  | 100  |  1033 |  4  |  7  |  62.2 |    https://www.nfl.com/players/david-blough/stats/    |
|   Blake Bortles    |  2634 | 1562 | 17649 | 103 |  75 |  80.6 |    https://www.nfl.com/players/blake-bortles/stats/   |
|   C.J. Beathard    |  497  | 291  |  3469 |  18 |  13 |  81.1 |    https://www.nfl.com/players/c-j-beathard/stats/    |
|    Jalen Hurts     |  148  |  77  |  1061 |  6  |  4  |  77.6 |     https://www.nfl.com/players/jalen-hurts/stats/    |
|    Kurt Benkert    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/kurt-benkert/stats/    |
|     Tom Brady      | 10598 | 6778 | 79204 | 581 | 191 |  97.3 |      https://www.nfl.com/players/tom-brady/stats/     |
|    Matt Barkley    |  363  | 212  |  2699 |  11 |  22 |  66.6 |    https://www.nfl.com/players/matt-barkley/stats/    |
|    J.T. Barrett    |   0   |  0   |   0   |  0  |  0  |   0   |     https://www.nfl.com/players/j-t-barrett/stats/    |
|   Tyler Huntley    |   5   |  3   |   15  |  0  |  0  |  64.6 |    https://www.nfl.com/players/tyler-huntley/stats/   |
|    Taysom Hill     |  134  |  94  |  1047 |  4  |  3  |  93.7 |     https://www.nfl.com/players/taysom-hill/stats/    |
|   Brett Hundley    |  337  | 199  |  1902 |  9  |  13 |  67.6 |    https://www.nfl.com/players/brett-hundley/stats/   |
|   Justin Herbert   |  595  | 396  |  4336 |  31 |  10 |  98.3 |   https://www.nfl.com/players/justin-herbert/stats/   |
|   Devlin Hodges    |  160  | 100  |  1063 |  5  |  8  |  71.4 |    https://www.nfl.com/players/devlin-hodges/stats/   |
|    Kevin Hogan     |  101  |  60  |  621  |  4  |  7  |  61.5 |     https://www.nfl.com/players/kevin-hogan/stats/    |
|    Brian Hoyer     |  1501 | 888  | 10404 |  52 |  35 |  82.1 |     https://www.nfl.com/players/brian-hoyer/stats/    |
|  Taylor Heinicke   |   77  |  48  |  467  |  2  |  3  |  71.7 |   https://www.nfl.com/players/taylor-heinicke/stats/  |
|   Dwayne Haskins   |  444  | 267  |  2804 |  12 |  14 |  74.4 |   https://www.nfl.com/players/dwayne-haskins/stats/   |
|     Jake Luton     |  110  |  60  |  624  |  2  |  6  |  54.5 |     https://www.nfl.com/players/jake-luton/stats/     |
|     Chad Henne     |  1997 | 1189 | 13208 |  60 |  63 |  76.1 |     https://www.nfl.com/players/chad-henne/stats/     |
|    Paxton Lynch    |  128  |  79  |  792  |  4  |  4  |  76.7 |    https://www.nfl.com/players/paxton-lynch/stats/    |
|     Drew Lock      |  599  | 354  |  3953 |  23 |  18 |  79.1 |      https://www.nfl.com/players/drew-lock/stats/     |
|    Jordan Love     |   0   |  0   |   0   |  0  |  0  |   0   |     https://www.nfl.com/players/jordan-love/stats/    |
|    Daniel Jones    |  907  | 564  |  5970 |  35 |  22 |  84.1 |    https://www.nfl.com/players/daniel-jones/stats/    |
|   Brian Lewerke    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/brian-lewerke/stats/   |
|   Kyle Lauletta    |   5   |  0   |   0   |  0  |  1  | -81.2 |    https://www.nfl.com/players/kyle-lauletta/stats/   |
|     Josh Love      |   0   |  0   |   0   |  0  |  0  |   0   |      https://www.nfl.com/players/josh-love/stats/     |
|    Dak Prescott    |  2293 | 1514 | 17634 | 106 |  40 |  97.3 |    https://www.nfl.com/players/dak-prescott/stats/    |
|   Lamar Jackson    |  947  | 606  |  7085 |  68 |  18 | 102.6 |    https://www.nfl.com/players/lamar-jackson/stats/   |
|  Nathan Peterman   |  135  |  71  |  573  |  3  |  12 |   34  |   https://www.nfl.com/players/nathan-peterman/stats/  |
|    Brett Rypien    |   40  |  27  |  295  |  2  |  4  |  64.1 |    https://www.nfl.com/players/brett-rypien/stats/    |
|   Shea Patterson   |   0   |  0   |   0   |  0  |  0  |   0   |   https://www.nfl.com/players/shea-patterson/stats/   |
|   Bryce Perkins    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/bryce-perkins/stats/   |
|    Cooper Rush     |   3   |  1   |   2   |  0  |  0  |  32.6 |     https://www.nfl.com/players/cooper-rush/stats/    |
|    Josh Johnson    |  268  | 148  |  1632 |  8  |  14 |  61.7 |    https://www.nfl.com/players/josh-johnson/stats/    |
|    Broc Rutter     |   0   |  0   |   0   |  0  |  0  |   0   |     https://www.nfl.com/players/broc-rutter/stats/    |
|   Mason Rudolph    |  326  | 201  |  2089 |  15 |  10 |  82.7 |    https://www.nfl.com/players/mason-rudolph/stats/   |
|     Josh Rosen     |  502  | 275  |  2845 |  12 |  19 |  63.5 |     https://www.nfl.com/players/josh-rosen/stats/     |
|     Matt Ryan      |  7443 | 4867 | 55767 | 347 | 158 |  94.5 |      https://www.nfl.com/players/matt-ryan/stats/     |
|    Jake Rudock     |   5   |  3   |   24  |  0  |  1  | -11.2 |     https://www.nfl.com/players/jake-rudock/stats/    |
|   Philip Rivers    |  8134 | 5277 | 63440 | 421 | 209 |  95.2 |    https://www.nfl.com/players/philip-rivers/stats/   |
|    Kyler Murray    |  1100 | 724  |  7693 |  46 |  24 |  90.9 |    https://www.nfl.com/players/kyler-murray/stats/    |
| Ben Roethlisberger |  7838 | 5050 | 60348 | 396 | 201 |   94  | https://www.nfl.com/players/ben-roethlisberger/stats/ |
|    Nick Mullens    |  600  | 387  |  4714 |  25 |  22 |  87.2 |    https://www.nfl.com/players/nick-mullens/stats/    |
|    Jalen Morton    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/jalen-morton/stats/    |
|    James Morgan    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/james-morgan/stats/    |
|   Steven Montez    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/steven-montez/stats/   |
|   Aaron Rodgers    |  6587 | 4285 | 51245 | 412 |  89 | 103.9 |    https://www.nfl.com/players/aaron-rodgers/stats/   |
|  Gardner Minshew   |  797  | 501  |  5530 |  37 |  11 |  93.1 |   https://www.nfl.com/players/gardner-minshew/stats/  |
|     Matt Moore     |  1074 | 645  |  7597 |  49 |  36 |  82.8 |     https://www.nfl.com/players/matt-moore/stats/     |
|   Trace McSorley   |   10  |  3   |   90  |  1  |  0  |  97.9 |   https://www.nfl.com/players/trace-mcsorley/stats/   |
|    Alex McGough    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/alex-mcgough/stats/    |
|   Cole McDonald    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/cole-mcdonald/stats/   |
|     Colt McCoy     |  989  | 600  |  6455 |  30 |  28 |  78.1 |     https://www.nfl.com/players/colt-mccoy/stats/     |
|    AJ McCarron     |  174  | 109  |  1173 |  6  |  3  |  86.7 |     https://www.nfl.com/players/aj-mccarron/stats/    |
|  Patrick Mahomes   |  1687 | 1114 | 14152 | 114 |  24 | 108.7 |   https://www.nfl.com/players/patrick-mahomes/stats/  |
|   Marcus Mariota   |  1793 | 1127 | 13433 |  77 |  45 |  89.5 |   https://www.nfl.com/players/marcus-mariota/stats/   |
|   Baker Mayfield   |  1506 | 932  | 11115 |  75 |  43 |  89.1 |   https://www.nfl.com/players/baker-mayfield/stats/   |
|    Sean Mannion    |   74  |  45  |  384  |  0  |  3  |  57.5 |    https://www.nfl.com/players/sean-mannion/stats/    |
| Mitchell Trubisky  |  1577 | 1010 | 10609 |  64 |  37 |  87.2 |  https://www.nfl.com/players/mitchell-trubisky/stats/ |
|    Josh McCown     |  2633 | 1584 | 17731 |  98 |  82 |  79.7 |     https://www.nfl.com/players/josh-mccown/stats/    |
|   Tua Tagovailoa   |  290  | 186  |  1814 |  11 |  5  |  87.1 |   https://www.nfl.com/players/tua-tagovailoa/stats/   |
|     Nick Tiano     |   0   |  0   |   0   |  0  |  0  |   0   |     https://www.nfl.com/players/nick-tiano/stats/     |
|  Clayton Thorson   |   0   |  0   |   0   |  0  |  0  |   0   |   https://www.nfl.com/players/clayton-thorson/stats/  |
|    Alex Tanney     |   15  |  11  |  100  |  1  |  0  | 113.2 |     https://www.nfl.com/players/alex-tanney/stats/    |
|   Ryan Tannehill   |  3678 | 2345 | 26995 | 178 |  88 |   92  |   https://www.nfl.com/players/ryan-tannehill/stats/   |
|    Tyrod Taylor    |  1392 | 855  |  9770 |  54 |  20 |  89.5 |    https://www.nfl.com/players/tyrod-taylor/stats/    |
|   Logan Woodside   |   3   |  1   |   7   |  0  |  0  |  39.6 |   https://www.nfl.com/players/logan-woodside/stats/   |
|   Jordan Ta'amu    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/jordan-ta-amu/stats/   |
|    John Wolford    |   38  |  22  |  231  |  0  |  1  |  64.7 |    https://www.nfl.com/players/john-wolford/stats/    |
|   Jameis Winston   |  2559 | 1570 | 19812 | 121 |  88 |  86.9 |   https://www.nfl.com/players/jameis-winston/stats/   |
|    Josh Woodrum    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/josh-woodrum/stats/    |
|   Russell Wilson   |  4335 | 2820 | 33946 | 267 |  81 | 101.7 |   https://www.nfl.com/players/russell-wilson/stats/   |
|   Manny Wilkins    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/manny-wilkins/stats/   |
|   Deshaun Watson   |  1748 | 1186 | 14539 | 104 |  36 | 104.5 |   https://www.nfl.com/players/deshaun-watson/stats/   |
|     Mike White     |   0   |  0   |   0   |  0  |  0  |   0   |     https://www.nfl.com/players/mike-white/stats/     |
|    Carson Wentz    |  2492 | 1562 | 16811 | 113 |  50 |  89.2 |    https://www.nfl.com/players/carson-wentz/stats/    |
|  Chris Streveler   |   16  |  11  |  105  |  1  |  1  |  81.5 |   https://www.nfl.com/players/chris-streveler/stats/  |
|    P.J. Walker     |   56  |  32  |  368  |  1  |  5  |  45.8 |   https://www.nfl.com/players/phillip-walker/stats/   |
|      Joe Webb      |  159  |  90  |  888  |  3  |  6  |  63.1 |      https://www.nfl.com/players/joe-webb/stats/      |
|     Davis Webb     |   0   |  0   |   0   |  0  |  0  |   0   |     https://www.nfl.com/players/davis-webb/stats/     |
|    Nate Sudfeld    |   37  |  25  |  188  |  1  |  1  |  77.3 |    https://www.nfl.com/players/nate-sudfeld/stats/    |
|  Jarrett Stidham   |   48  |  24  |  270  |  2  |  4  |  46.4 |   https://www.nfl.com/players/jarrett-stidham/stats/  |
|    Easton Stick    |   1   |  1   |   4   |  0  |  0  | 102.1 |    https://www.nfl.com/players/easton-stick/stats/    |
|   Tommy Stevens    |   4   |  24  |   10  |  50 |  0  |   0   |    https://www.nfl.com/players/tommy-stevens/stats/   |
|    Nate Stanley    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/nate-stanley/stats/    |
|    J'Mar Smith     |   0   |  0   |   0   |  0  |  0  |   0   |     https://www.nfl.com/players/j-mar-smith/stats/    |
|     Geno Smith     |  911  | 527  |  6215 |  29 |  36 |  72.9 |     https://www.nfl.com/players/geno-smith/stats/     |
|    Kyle Sloter     |   0   |  0   |   0   |  0  |  0  |   0   |     https://www.nfl.com/players/kyle-sloter/stats/    |
|  Matthew Stafford  |  6224 | 3898 | 45109 | 282 | 144 |  89.9 |  https://www.nfl.com/players/matthew-stafford/stats/  |
|    Drew Stanton    |  659  | 345  |  4059 |  20 |  24 |  66.3 |    https://www.nfl.com/players/drew-stanton/stats/    |
|     Matt Simms     |   39  |  19  |  195  |  1  |  1  |  61.4 |     https://www.nfl.com/players/matt-simms/stats/     |
|    Reid Sinnett    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/reid-sinnett/stats/    |
|   Trevor Siemian   |  841  | 498  |  5689 |  30 |  24 |  79.6 |   https://www.nfl.com/players/trevor-siemian/stats/   |
|     Alex Smith     |  5193 | 3250 | 35650 | 199 | 109 |  86.9 |     https://www.nfl.com/players/alex-smith/stats/     |
|    Kyle Shurmur    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/kyle-shurmur/stats/    |
|    Matt Schaub     |  3348 | 2148 | 25467 | 136 |  91 |  89.5 |     https://www.nfl.com/players/matt-schaub/stats/    |
+--------------------+-------+------+-------+-----+-----+-------+-------------------------------------------------------+
